"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
53,"Male","US",4,5,5,1,2,1,5,5,5,4,5,4,3,4,5,0.93,0.27,1,0.87,0.8
46,"Female","US",2,3,3,2,4,4,3,4,3,4,3,4,3,3,2,0.53,0.67,0.67,0.73,0.53
14,"Female","PK",5,1,5,5,5,5,1,5,5,4,5,5,5,5,5,0.73,1,0.73,0.93,1
19,"Female","RO",2,2,3,5,4,5,5,4,3,3,4,2,5,5,5,0.47,0.93,0.8,0.6,1
25,"Female","US",3,3,3,3,3,3,5,5,5,3,5,3,1,3,3,0.6,0.6,1,0.73,0.47
31,"Female","US",1,2,1,1,4,4,2,4,3,2,4,5,1,5,3,0.27,0.6,0.6,0.73,0.6
20,"Female","US",5,5,5,2,2,2,5,5,5,2,3,3,5,4,4,1,0.4,1,0.53,0.87
23,"Male","IN",4,5,5,1,4,1,5,4,5,4,5,3,5,5,5,0.93,0.4,0.93,0.8,1
39,"Female","US",3,5,5,2,5,5,5,5,4,4,5,4,5,5,5,0.87,0.8,0.93,0.87,1
18,"Female","US",1,2,2,5,5,4,3,4,2,5,4,4,5,4,4,0.33,0.93,0.6,0.87,0.87
17,"Female","IT",1,2,1,5,5,5,4,4,3,3,3,3,5,3,5,0.27,1,0.73,0.6,0.87
15,"Male","IN",3,5,3,1,3,3,4,2,4,3,4,3,4,4,5,0.73,0.47,0.67,0.67,0.87
22,"Female","US",3,4,4,3,3,2,4,5,4,4,4,5,4,3,4,0.73,0.53,0.87,0.87,0.73
21,"Female","US",1,2,1,5,5,5,1,4,2,5,5,4,3,4,4,0.27,1,0.47,0.93,0.73
28,"Female","US",3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,0.6,0.67,0.8,0.8,0.8
21,"Male","US",2,2,3,2,2,2,2,2,2,4,4,4,5,4,5,0.47,0.4,0.4,0.8,0.93
19,"Female","FR",1,2,2,4,3,3,2,1,1,4,5,3,4,5,4,0.33,0.67,0.27,0.8,0.87
21,"Female","US",4,5,5,5,5,3,5,5,3,3,3,4,3,5,3,0.93,0.87,0.87,0.67,0.73
26,"Female","GB",2,4,1,4,5,4,2,2,3,4,5,5,4,5,2,0.47,0.87,0.47,0.93,0.73
26,"Female","US",2,3,3,4,3,2,3,4,4,1,5,2,5,5,4,0.53,0.6,0.73,0.53,0.93
19,"Female","LT",1,2,3,4,4,4,5,5,3,2,4,1,5,4,4,0.4,0.8,0.87,0.47,0.87
29,"Female","US",2,4,4,1,2,1,4,3,3,4,5,3,4,5,4,0.67,0.27,0.67,0.8,0.87
29,"Female","US",2,1,2,3,5,3,4,4,3,4,4,4,5,3,3,0.33,0.73,0.73,0.8,0.73
21,"Male","CA",3,4,4,3,3,2,4,4,3,3,5,4,4,5,3,0.73,0.53,0.73,0.8,0.8
52,"Female","US",3,4,2,4,4,2,4,5,4,3,4,2,4,4,4,0.6,0.67,0.87,0.6,0.8
19,"Female","GR",1,2,2,5,4,3,4,5,4,4,5,2,5,5,5,0.33,0.8,0.87,0.73,1
48,"Male","US",5,4,5,3,4,3,5,4,5,2,2,5,5,4,5,0.93,0.67,0.93,0.6,0.93
22,"Male","US",3,4,2,4,4,2,2,3,3,3,3,3,4,3,3,0.6,0.67,0.53,0.6,0.67
17,"Female","US",2,3,2,5,5,4,5,4,3,2,3,3,3,3,5,0.47,0.93,0.8,0.53,0.73
37,"Male","DK",3,3,2,1,4,3,4,4,4,4,4,2,4,4,3,0.53,0.53,0.8,0.67,0.73
19,"Female","US",4,1,4,4,5,4,5,5,4,1,3,1,5,3,5,0.6,0.87,0.93,0.33,0.87
22,"Female","US",2,3,3,5,5,2,3,4,5,3,5,3,5,5,5,0.53,0.8,0.8,0.73,1
25,"Male","US",4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,0.8,0.53,0.8,0.8,0.67
20,"Female","US",5,4,5,4,4,4,5,4,4,2,1,1,4,4,4,0.93,0.8,0.87,0.27,0.8
15,"Female","GB",1,3,3,3,4,3,3,3,3,2,3,2,4,3,3,0.47,0.67,0.6,0.47,0.67
46,"Female","US",1,3,3,4,5,5,3,5,3,5,5,4,4,5,3,0.47,0.93,0.73,0.93,0.8
15,"Male","GB",1,2,2,1,4,2,5,5,1,5,5,2,5,5,5,0.33,0.47,0.73,0.8,1
18,"Female","US",2,3,4,2,3,2,4,4,5,4,4,4,5,4,5,0.6,0.47,0.87,0.8,0.93
42,"Male","US",2,2,2,3,3,2,3,3,2,3,3,2,3,4,4,0.4,0.53,0.53,0.53,0.73
27,"Female","US",1,2,2,3,5,2,4,4,3,4,5,4,4,4,4,0.33,0.67,0.73,0.87,0.8
17,"Male","US",5,1,5,1,1,1,1,1,5,5,5,1,5,5,5,0.73,0.2,0.47,0.73,1
17,"Female","US",4,3,3,5,5,5,5,4,3,4,4,4,1,4,2,0.67,1,0.8,0.8,0.47
17,"Female","US",2,2,2,3,4,3,3,4,3,4,5,2,4,4,5,0.4,0.67,0.67,0.73,0.87
60,"Female","US",3,5,5,2,5,4,5,5,5,5,5,5,4,5,5,0.87,0.73,1,1,0.93
27,"Female","CA",1,4,3,4,5,5,5,5,5,5,4,4,5,5,2,0.53,0.93,1,0.87,0.8
19,"Female","US",4,4,5,5,4,3,4,4,4,5,3,5,4,4,5,0.87,0.8,0.8,0.87,0.87
20,"Male","US",1,2,2,3,3,2,3,2,3,3,4,2,5,3,3,0.33,0.53,0.53,0.6,0.73
19,"Male","IN",2,5,5,1,2,1,5,4,5,5,5,5,3,5,4,0.8,0.27,0.93,1,0.8
26,"Female","US",1,1,1,5,5,5,3,4,3,1,2,3,5,2,4,0.2,1,0.67,0.4,0.73
24,"Male","MX",1,3,4,4,5,4,3,4,2,4,4,2,5,5,5,0.53,0.87,0.6,0.67,1
19,"Female","US",1,2,1,5,5,4,4,5,2,4,5,4,4,4,4,0.27,0.93,0.73,0.87,0.8
18,"Female","GB",2,2,2,5,5,5,2,2,3,1,3,2,5,4,5,0.4,1,0.47,0.4,0.93
14,"Female","US",2,2,4,4,4,5,4,2,2,2,5,2,4,3,5,0.53,0.87,0.53,0.6,0.8
25,"Female","IN",2,4,4,5,2,2,5,5,5,5,4,4,1,4,4,0.67,0.6,1,0.87,0.6
47,"Male","US",4,3,2,4,4,3,5,2,3,5,4,4,4,4,5,0.6,0.73,0.67,0.87,0.87
18,"Male","US",2,2,2,4,4,4,2,4,3,3,3,2,4,4,3,0.4,0.8,0.6,0.53,0.73
23,"Male","SE",2,4,2,5,5,5,4,2,3,4,5,5,5,3,4,0.53,1,0.6,0.93,0.8
14,"Other","GB",2,2,2,5,4,3,4,3,2,2,3,2,3,4,2,0.4,0.8,0.6,0.47,0.6
20,"Female","US",1,2,1,5,5,4,5,5,3,4,2,4,5,5,4,0.27,0.93,0.87,0.67,0.93
35,"Female","US",4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,0.93,1,1,0.8,1
34,"Female","US",4,4,5,2,4,3,5,5,4,4,4,4,4,3,3,0.87,0.6,0.93,0.8,0.67
36,"Female","JO",5,5,5,5,5,5,5,5,5,4,5,2,5,2,3,1,1,1,0.73,0.67
15,"Male","US",3,3,2,4,4,4,4,4,2,3,4,2,5,2,4,0.53,0.8,0.67,0.6,0.73
20,"Male","US",4,4,4,1,2,2,5,5,4,4,5,3,3,4,4,0.8,0.33,0.93,0.8,0.73
54,"Female","CA",2,4,2,3,3,1,3,3,5,4,5,4,5,4,5,0.53,0.47,0.73,0.87,0.93
47,"Male","US",2,5,4,3,4,2,4,5,4,2,3,2,4,5,4,0.73,0.6,0.87,0.47,0.87
17,"Male","IN",3,4,3,5,5,5,5,5,5,3,5,3,5,3,3,0.67,1,1,0.73,0.73
45,"Male","US",4,4,3,2,4,2,3,5,5,4,5,5,4,5,3,0.73,0.53,0.87,0.93,0.8
32,"Female","US",2,5,4,5,5,4,4,4,2,4,5,5,2,4,2,0.73,0.93,0.67,0.93,0.53
23,"Female","NO",3,5,5,3,4,3,5,5,4,2,4,1,4,4,3,0.87,0.67,0.93,0.47,0.73
23,"Female","US",4,4,4,4,5,2,5,5,5,3,4,3,4,4,4,0.8,0.73,1,0.67,0.8
14,"Female","US",1,2,4,5,5,5,3,5,3,4,3,5,5,4,5,0.47,1,0.73,0.8,0.93
19,"Male","IE",5,2,2,4,5,3,4,5,3,3,3,2,5,5,4,0.6,0.8,0.8,0.53,0.93
15,"Female","NZ",1,2,3,5,5,5,5,5,3,3,3,3,4,3,3,0.4,1,0.87,0.6,0.67
49,"Female","FI",3,4,5,4,4,2,4,4,4,2,3,2,4,5,4,0.8,0.67,0.8,0.47,0.87
47,"Female","US",1,2,1,5,3,4,4,4,5,3,5,3,5,5,5,0.27,0.8,0.87,0.73,1
23,"Female","BE",3,4,4,5,5,5,5,5,5,4,5,3,3,4,3,0.73,1,1,0.8,0.67
19,"Female","FI",1,2,2,5,5,4,2,2,2,4,5,4,5,4,4,0.33,0.93,0.4,0.87,0.87
36,"Male","US",3,1,5,4,5,3,5,4,3,5,4,5,3,4,4,0.6,0.8,0.8,0.93,0.73
21,"Female","GB",2,4,4,5,5,5,5,5,3,4,2,2,5,5,4,0.67,1,0.87,0.53,0.93
21,"Female","BE",3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,0.73,1,0.87,0.87,1
13,"Male","GB",3,3,3,5,5,5,2,3,4,3,4,3,4,4,3,0.6,1,0.6,0.67,0.73
21,"Female","US",3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,0.6,0.6,0.73,0.67,0.8
32,"Male","HR",4,5,5,1,3,1,4,4,5,5,5,5,3,5,3,0.93,0.33,0.87,1,0.73
33,"Female","US",4,5,5,3,4,3,5,5,5,3,4,4,5,5,5,0.93,0.67,1,0.73,1
33,"Male","US",3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,0.73,0.53,0.8,0.8,0.8
16,"Male","GB",2,2,2,3,4,4,3,4,2,2,3,3,5,4,3,0.4,0.73,0.6,0.53,0.8
21,"Female","BE",3,2,4,4,5,3,1,4,4,3,5,2,5,5,4,0.6,0.8,0.6,0.67,0.93
