"customer_id","sale_amount"
2504,28
1893,89
2863,55
5580,52
1350,80
7431,53
3475,70
2469,61
7101,20
4109,48
7338,99
5366,74
5300,56
9506,74
1522,80
5813,27
5901,61
6760,52
5002,68
9425,78
7463,122
5470,69
8000,53
3427,68
7176,39
9585,31
5392,34
4020,48
7931,75
4717,71
6839,83
4722,34
4356,60
5686,45
7933,77
6612,59
8180,50
7021,65
8152,81
8574,45
5266,97
3901,46
7683,58
4678,67
8656,47
5192,35
9414,55
2641,53
6719,54
3152,20
9844,10
7042,73
7987,95
5883,48
9291,16
3213,70
8608,51
9733,57
7820,37
9450,58
8754,55
9866,82
1080,57
2970,47
5513,67
9491,74
2457,60
6481,12
8428,15
8771,60
8971,12
5280,14
3510,52
9596,25
3571,42
9002,33
8228,1
3704,85
1569,17
2790,57
4894,42
5681,75
5147,94
1318,59
7066,71
6411,55
5202,91
4719,43
6618,43
8279,85
6994,87
4574,43
6683,79
1033,54
1396,38
8213,30
9678,85
3701,70
1522,60
4206,50
2681,55
8352,47
2230,57
4679,41
1362,47
5418,80
8490,52
9781,41
6145,6
8129,5
5795,29
3878,56
1554,11
5206,66
7509,17
4735,90
7128,12
5875,28
7479,64
2715,45
6451,52
4389,91
4767,73
8286,61
8899,52
8873,70
5006,45
9700,46
4425,41
8783,1
8334,59
5605,33
4753,23
5763,7
9540,50
3751,48
3175,24
5860,43
4839,83
8789,74
2102,85
2877,23
8526,84
7987,24
7414,47
1015,98
7222,67
3628,96
8249,8
3945,64
4375,83
4430,36
4063,59
1594,47
9485,60
6076,33
8407,52
7939,84
3570,28
8672,40
7611,42
7302,47
7291,27
3958,30
6573,99
1785,83
9177,87
3694,65
3758,13
6473,102
9748,54
3785,64
5179,93
4501,1
9234,51
9232,63
1745,22
9161,50
6748,82
2981,54
2819,1
1776,43
8301,31
4126,4
9266,70
2924,96
7283,48
1245,10
7033,88
5619,1
6619,35
4682,33
8208,67
8236,29
3695,40
9413,87
7648,38
6145,67
3879,50
2598,103
6802,36
6493,88
5188,16
2273,68
8407,40
3873,53
2041,32
6523,84
9891,60
2846,47
7109,49
6798,53
8366,55
3082,32
7632,33
6795,85
2185,53
2984,40
7929,47
2274,25
9688,56
1507,81
7756,25
1597,21
2405,60
8742,1
5783,53
7905,28
7525,50
5804,63
6938,98
1432,56
3511,5
2230,81
9895,26
2414,33
9019,65
1368,34
5429,42
6373,37
5543,61
1578,64
4434,29
5769,35
6127,74
6207,49
6223,87
2226,36
5098,61
1379,69
3406,36
9277,51
6833,40
7476,58
7173,44
3473,40
3876,69
5535,47
4165,62
3168,2
3773,24
5309,60
4979,70
9226,48
8854,80
3307,41
9778,29
6300,17
3489,29
4118,56
3272,72
1456,101
3087,105
4307,96
1786,42
4360,80
1061,21
3373,82
1059,64
8913,80
2793,47
2279,49
9853,66
7262,22
9849,63
1317,86
2208,53
3736,37
1054,16
1923,2
5598,77
1326,120
8879,89
4824,81
9398,30
8565,14
9672,41
5586,44
2008,60
7468,55
9394,39
7411,93
3510,73
8883,12
2025,44
7627,62
2633,6
7357,59
3397,37
7658,47
6163,76
8166,64
3936,81
2362,77
5994,37
7414,36
3928,28
2092,104
8226,46
9697,70
6420,58
8526,29
3499,25
7108,51
9044,18
9604,64
1864,69
9145,7
6736,39
4259,9
9166,54
8810,45
1798,45
3257,1
6737,83
3962,71
6053,48
1958,30
4675,100
7335,68
6907,35
6564,46
7544,70
4765,91
1355,1
