"customer_id","sale_amount"
9971,29
7934,71
2275,58
4815,61
3250,48
6628,51
3940,43
7767,79
2934,56
7568,54
3597,62
4688,39
2800,70
4532,31
5900,80
1647,53
3103,93
6912,60
3679,76
7755,42
5623,1
2566,64
6730,31
2093,38
9106,87
8246,4
9475,13
5273,31
4747,39
7076,1
5364,77
6207,47
8645,50
4922,31
6303,49
1679,72
3326,94
5457,63
5860,44
6889,90
4253,78
4299,45
6479,45
6040,25
9327,42
7146,19
6639,35
8456,40
6465,68
8463,77
2204,19
8967,56
7409,36
3639,104
9259,38
6013,73
9476,77
6373,27
2619,41
2984,92
7920,48
4673,64
6666,73
6252,42
4294,44
5531,36
4853,43
3839,43
6354,84
6855,95
1968,14
5580,52
8918,38
5053,15
6560,45
3650,65
7046,69
2771,1
5757,47
5221,53
1726,67
7015,50
6118,11
4332,54
6245,65
7868,22
2615,7
7423,77
3119,96
6724,31
5603,12
1732,50
3513,59
8547,64
4448,85
7494,59
6572,38
1858,100
8835,49
3959,51
7993,16
4063,62
2556,49
6467,33
1714,47
9203,29
4583,107
4544,72
2950,87
9269,56
8439,58
3143,46
6389,54
7102,39
9342,44
2351,55
5465,1
5705,71
9438,35
4736,81
9767,42
5810,25
1900,49
4562,54
2680,1
9718,80
2434,51
3517,1
4988,8
2629,39
3802,94
6856,64
6640,36
5575,53
1876,24
8581,4
3546,93
3290,54
1176,55
1865,13
8725,96
4737,91
3566,101
3627,32
6657,14
4666,31
5414,26
9409,53
7305,68
9242,1
6874,40
9629,88
7572,75
3842,68
3889,1
4652,69
6995,31
6506,22
9964,37
7110,84
2463,54
5438,35
7795,28
9665,89
5975,99
5332,56
1690,69
6093,42
5666,58
5873,86
9501,76
8233,24
1840,63
6353,73
7647,26
6816,72
6354,13
3930,91
5599,42
6136,43
4198,37
7486,46
8860,54
1381,41
6443,93
9095,29
2136,47
1815,40
3598,93
1426,35
5121,43
6735,21
9332,54
2348,38
1639,53
6584,45
4867,74
7394,57
5568,36
1535,41
3477,60
1260,97
6520,20
7141,78
8020,51
8565,51
4581,78
1838,46
8770,39
4308,1
7430,93
8643,66
4513,86
4478,50
3990,77
1514,78
4296,40
3575,50
6031,45
9106,40
8032,87
5410,102
2347,1
9480,80
7346,21
7857,62
9984,65
6114,63
7957,69
4864,32
2634,30
1515,31
7620,56
2906,44
7001,43
4273,85
6186,68
5549,37
3674,91
3073,1
4741,54
8431,73
8136,45
9355,65
9042,4
6808,38
3280,25
9447,39
2659,57
8858,61
8176,72
8555,24
6884,59
4686,67
9646,33
9886,81
3122,42
1583,37
7202,57
4754,86
8565,75
5156,32
5874,34
4448,59
5044,49
2148,22
5331,42
7329,81
5809,41
3476,1
5062,38
1149,59
1735,21
4334,70
8655,48
8562,61
7964,18
1817,59
1899,69
3662,62
5714,39
1222,73
3998,66
7132,43
6197,36
8238,51
7272,45
7595,62
3598,60
4428,71
7082,95
2235,20
2808,32
1215,64
7009,17
7976,91
6149,42
6676,32
7394,16
5606,74
5284,47
7559,66
5367,44
9989,1
2352,47
5227,36
5334,35
7158,36
8423,36
5129,1
5661,70
9466,84
6477,61
4480,54
8381,49
8795,36
4928,45
9610,23
7742,91
1070,12
8773,63
6853,50
6832,58
2371,32
6891,75
9235,78
5195,91
5566,57
7737,35
6100,74
9279,64
1568,8
8437,32
7741,91
3709,49
1878,88
6278,62
6517,33
7812,18
9513,54
2474,12
1677,114
9798,37
4268,42
5536,59
1208,95
8480,53
4568,76
1393,24
8364,30
9406,33
7217,33
5304,70
8102,26
7745,79
2975,34
7668,24
3351,36
1086,61
9164,42
4481,55
5573,68
9704,106
8482,93
7078,63
3025,62
6313,28
2657,80
8233,23
4734,40
8124,45
7796,38
1545,87
6234,63
2658,80
6397,33
6420,51
4753,22
1815,50
1661,81
6941,52
3555,11
8582,69
4524,69
6895,62
6302,75
5404,69
3141,30
1979,57
4008,81
2385,34
2479,42
2545,18
7716,87
8816,65
4157,40
7423,89
1472,79
3412,65
7438,30
6467,28
5950,31
6289,21
5970,51
7106,1
9880,39
8534,26
3461,39
9572,85
7548,26
5084,94
5885,63
5834,60
3047,65
3669,48
4371,77
5838,88
7895,30
7212,47
6653,27
5316,82
6694,21
8445,71
2281,1
5761,76
2933,44
6443,54
5768,68
8911,89
2413,11
8346,59
6885,56
1585,42
3205,66
1030,58
8538,46
9839,55
4303,26
7807,81
2093,39
5995,24
1531,15
5535,48
1736,66
5032,58
5755,58
9969,53
2939,39
8808,55
4023,123
9373,20
2910,46
2751,67
7860,75
9935,31
1943,16
5884,58
6073,40
8045,88
2544,40
7413,57
1956,36
3106,69
4039,81
6394,51
5258,15
4990,35
9092,104
9838,48
8629,77
6357,48
2610,25
6399,24
9243,19
7695,53
7251,78
5893,82
4645,102
4752,26
9996,54
8301,66
2897,105
3138,108
4488,65
8222,86
6834,86
7424,52
9503,78
1008,37
8845,59
1420,68
1354,61
4858,28
8788,37
7450,43
5366,81
8395,57
7804,26
1194,113
4984,84
6880,34
3568,101
3275,54
3730,77
4293,89
4887,92
6517,46
8452,42
2678,49
4852,59
9657,39
2380,53
9120,78
7832,91
7599,76
9058,99
4334,81
8417,27
9382,29
1425,53
2438,42
6948,44
7794,19
6762,78
5855,41
5684,62
6605,91
7858,24
1747,37
9159,44
7107,5
4707,63
9818,14
1362,53
2616,1
9824,56
2013,69
5932,6
5044,30
1286,16
3120,12
2167,18
3657,48
3214,54
1252,59
7692,24
4319,32
5879,77
8045,32
8199,11
7872,51
5475,26
3175,66
1776,32
8187,64
7796,40
8217,69
1677,74
4949,23
4896,35
7159,26
5265,65
5693,54
9357,21
2063,34
8043,69
2512,74
9155,21
6016,64
8811,37
9148,92
9969,75
4573,30
6568,40
1754,81
5417,87
2023,60
2904,72
9521,27
3651,1
2478,48
2227,33
3976,66
1521,74
2744,54
4643,46
5278,71
7599,28
5581,71
8709,65
3470,86
3178,33
9015,13
8977,78
2937,30
8544,43
9090,35
4269,54
5917,47
3319,88
5530,57
6919,32
2842,23
9602,34
7839,6
4797,7
2621,11
9556,42
9524,43
6551,1
9384,48
2021,69
6365,36
1766,32
6835,78
5714,31
1562,58
4549,27
1379,41
6497,94
5095,95
7096,67
7996,36
2195,52
3621,48
9550,47
7150,50
3647,42
2682,41
2120,32
1604,79
9955,57
5338,23
3223,78
9966,54
3477,40
1345,48
1612,28
9010,23
2907,21
8010,74
5685,10
1096,77
7874,35
9090,47
7990,1
9977,80
6185,79
6574,41
4401,76
3323,57
3258,31
9112,85
7134,71
2705,76
7728,69
8246,52
4993,30
2199,52
5990,36
9258,62
1656,124
5941,12
8344,15
5844,39
5988,52
9681,52
1049,44
9089,24
5631,28
9239,41
5974,47
7260,60
3018,56
3184,17
4914,46
9691,43
1052,61
4630,41
9800,32
1252,50
6201,26
4763,42
6010,71
5826,50
2698,17
6459,19
2548,31
7116,28
4717,49
1483,66
8141,78
1218,1
8888,76
6619,88
8683,52
2296,50
1997,78
5441,46
9237,57
7082,25
5312,60
9190,32
4544,49
4709,77
7686,83
8723,21
4863,7
3932,76
4988,56
3086,34
3681,22
5714,37
1263,37
7651,46
4768,49
3754,2
6409,97
7431,1
3241,67
8916,37
5131,39
9435,25
7967,48
6123,69
4945,92
8908,65
1677,55
5210,75
4655,46
8483,32
5071,55
9610,68
4609,53
3005,75
3186,105
2811,42
2224,91
9938,25
6116,32
8419,72
2060,68
9257,68
9465,44
6826,63
3513,35
5807,22
3303,39
8635,55
5144,72
9246,75
1867,1
3688,36
8620,40
3567,74
4229,74
5794,57
1238,14
5736,8
6815,35
7660,70
8086,57
4118,69
6516,20
7591,78
6877,56
4745,59
2370,74
5133,1
9181,66
6404,58
4862,90
5967,57
6467,36
3759,39
7176,69
1247,52
2926,113
3587,79
4927,73
3828,1
7066,107
8250,94
3263,33
7415,65
4030,17
8332,23
9856,39
9352,79
9601,69
7485,86
8006,33
1424,29
1645,104
1458,84
2239,44
4326,39
5314,15
6280,14
5574,33
1586,83
1694,35
9017,25
6307,73
2813,1
1489,44
4976,42
2362,65
9331,76
5921,55
1626,17
5605,28
1877,34
5341,29
9983,33
7248,55
8723,65
7866,57
7922,62
3116,22
4215,66
4014,67
7225,112
6745,40
4184,83
6053,56
3613,57
4974,30
6439,79
9735,34
1790,76
6710,39
8724,54
3146,62
8293,90
1330,37
1079,50
