"year","name","wind"
1980,"Allen",165
2019,"Dorian",160
1988,"Gilbert",160
2005,"Wilma",160
2017,"Irma",155
1998,"Mitch",155
2005,"Rita",155
1992,"Andrew",150
1977,"Anita",150
1979,"David",150
2007,"Dean",150
2007,"Felix",150
2005,"Katrina",150
2017,"Maria",150
2003,"Isabel",145
2004,"Ivan",145
2016,"Matthew",145
2005,"Emily",140
1989,"Hugo",140
2022,"Ian",140
2019,"Lorenzo",140
2018,"Michael",140
1999,"Floyd",135
1998,"Georges",135
2008,"Gustav",135
2010,"Igor",135
2020,"Iota",135
2015,"Joaquin",135
2017,"Jose",135
1999,"Lenny",135
2021,"Sam",135
2004,"Charley",130
2005,"Dennis",130
2020,"Eta",130
2018,"Florence",130
1999,"Gert",130
2021,"Ida",130
2020,"Laura",130
1995,"Luis",130
1995,"Opal",130
1999,"Bret",125
2010,"Earl",125
1996,"Edouard",125
2003,"Fabian",125
2004,"Frances",125
1989,"Gabrielle",125
1985,"Gloria",125
2014,"Gonzalo",125
1988,"Helene",125
2008,"Ike",125
2001,"Iris",125
1988,"Joan",125
2004,"Karl",125
2002,"Lili",125
2008,"Paloma",125
1999,"Cindy",120
2020,"Delta",120
1978,"Ella",120
1995,"Felix",120
2022,"Fiona",120
1975,"Gladys",120
1996,"Hortense",120
2000,"Isaac",120
2010,"Julia",120
2011,"Katia",120
2000,"Keith",120
2001,"Michelle",120
2016,"Nicole",120
2011,"Ophelia",120
2020,"Teddy",120
2009,"Bill",115
1991,"Claudette",115
2010,"Danielle",115
1982,"Debby",115
1984,"Diana",115
1979,"Frederic",115
1978,"Greta",115
1981,"Harvey",115
2017,"Harvey",115
2008,"Omar",115
2000,"Alberto",110
2008,"Bertha",110
2015,"Danny",110
1985,"Elena",110
1975,"Eloise",110
1987,"Emily",110
1997,"Erika",110
2019,"Humberto",110
2002,"Isidore",110
2010,"Karl",110
2003,"Kate",110
2021,"Larry",110
2004,"Alex",105
1976,"Belle",105
2014,"Edouard",105
2001,"Erin",105
1996,"Fran",105
2009,"Fred",105
2016,"Gaston",105
2006,"Gordon",105
2021,"Grace",105
1990,"Gustav",105
2006,"Helene",105
1981,"Irene",105
2011,"Irene",105
2004,"Jeanne",105
1985,"Kate",105
1983,"Alicia",100
1996,"Bertha",100
2005,"Beta",100
1991,"Bob",100
1998,"Bonnie",100
2022,"Bonnie",100
1975,"Caroline",100
1993,"Emily",100
2020,"Epsilon",100
2001,"Felix",100
1981,"Floyd",100
1976,"Frances",100
1980,"Frances",100
1996,"Isidore",100
2017,"Lee",100
1996,"Lili",100
2005,"Maria",100
1995,"Marilyn",100
2012,"Michael",100
2017,"Ophelia",100
2016,"Otto",100
2011,"Rina",100
1995,"Roxanne",100
2012,"Sandy",100
2020,"Zeta",100
2010,"Alex",95
1992,"Bonnie",95
1992,"Charley",95
2004,"Danielle",95
1975,"Doris",95
2022,"Earl",95
1994,"Florence",95
2017,"Gert",95
2012,"Gordon",95
2018,"Helene",95
1995,"Humberto",95
1999,"Irene",95
1995,"Iris",95
2018,"Oscar",95
2020,"Sally",95
2018,"Chris",90
1998,"Danielle",90
1989,"Dean",90
1999,"Dennis",90
1986,"Earl",90
1976,"Emmy",90
1989,"Erin",90
1975,"Faye",90
1981,"Gert",90
1976,"Gloria",90
1991,"Grace",90
2001,"Humberto",90
2009,"Ida",90
2005,"Irene",90
1980,"Ivan",90
1998,"Jeanne",90
2019,"Jerry",90
1984,"Josephine",90
2003,"Juan",90
1998,"Karl",90
2017,"Katia",90
2012,"Kirk",90
2010,"Paula",90
2020,"Paulette",90
2014,"Arthur",85
1980,"Bonnie",85
1990,"Diana",85
2008,"Dolly",85
1998,"Earl",85
1995,"Erin",85
2012,"Ernesto",85
1978,"Flossie",85
1993,"Gert",85
1979,"Gloria",85
2002,"Gustav",85
1990,"Isidore",85
1980,"Jeanne",85
1999,"Jose",85
2000,"Michael",85
2010,"Richard",85
2010,"Tomas",85
1976,"Candice",80
2003,"Claudette",80
1978,"Cora",80
1985,"Danny",80
1981,"Emily",80
2006,"Florence",80
2020,"Hanna",80
2007,"Humberto",80
2013,"Humberto",80
2020,"Isaias",80
1998,"Ivan",80
2000,"Joyce",80
1984,"Klaus",80
2018,"Leslie",80
2022,"Lisa",80
2012,"Nadine",80
2005,"Nate",80
2017,"Nate",80
2001,"Olga",80
2011,"Philippe",80
2012,"Rafael",80
1982,"Alberto",75
2016,"Alex",75
1975,"Blanche",75
1986,"Bonnie",75
1996,"Cesar",75
2012,"Chris",75
1985,"Claudette",75
2014,"Cristobal",75
2022,"Danielle",75
2000,"Debby",75
1977,"Dorothy",75
2016,"Earl",75
2021,"Elsa",75
2005,"Epsilon",75
1989,"Felix",75
1986,"Frances",75
1992,"Frances",75
2017,"Franklin",75
2015,"Fred",75
1994,"Gordon",75
2008,"Hanna",75
1979,"Henri",75
2013,"Ingrid",75
2006,"Isaac",75
1989,"Jerry",75
1990,"Josephine",75
1985,"Juan",75
2022,"Julia",75
1980,"Karl",75
2015,"Kate",75
1981,"Katrina",75
2002,"Kyle",75
2008,"Kyle",75
2010,"Lisa",75
2022,"Martin",75
1990,"Nana",75
1998,"Nicole",75
2005,"Ophelia",75
2010,"Otto",75
1995,"Tanya",75
1983,"Barry",70
1990,"Bertha",70
2014,"Bertha",70
2018,"Beryl",70
1989,"Chantal",70
1980,"Charley",70
1986,"Charley",70
1994,"Chris",70
1997,"Danny",70
1981,"Dennis",70
1996,"Dolly",70
1977,"Evelyn",70
2014,"Fay",70
1988,"Florence",70
2000,"Florence",70
2001,"Gabrielle",70
1980,"Georges",70
2000,"Gordon",70
2016,"Hermine",70
2012,"Isaac",70
2001,"Karen",70
1978,"Kendra",70
1990,"Klaus",70
2012,"Leslie",70
1984,"Lili",70
2007,"Lorenzo",70
2011,"Maria",70
2007,"Noel",70
2019,"Pablo",70
2005,"Philippe",70
2005,"Stan",70
1991,"AL121991",65
1995,"Allison",65
1987,"Arlene",65
1977,"Babe",65
2019,"Barry",65
1997,"Bill",65
1979,"Bob",65
1985,"Bob",65
1983,"Chantal",65
2005,"Cindy",65
1977,"Clara",65
2003,"Danny",65
1988,"Debby",65
1980,"Earl",65
2003,"Erika",65
2006,"Ernesto",65
1987,"Floyd",65
1993,"Floyd",65
2020,"Gamma",65
2004,"Gaston",65
1993,"Harvey",65
2021,"Henri",65
1976,"Holly",65
1984,"Hortense",65
2018,"Isaac",65
2007,"Karen",65
1990,"Lili",65
1998,"Lisa",65
2004,"Lisa",65
1996,"Marco",65
2020,"Marco",65
2020,"Nana",65
2011,"Nate",65
2021,"Nicholas",65
2022,"Nicole",65
1995,"Noel",65
2001,"Noel",65
2010,"Shary",65
2005,"Vince",65
