title,release,role,names
The Legend of Zelda,1986 - Famicom Disk System,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,1986 - Famicom Disk System,Producers,Shigeru Miyamoto
The Legend of Zelda,1986 - Famicom Disk System,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,1986 - Famicom Disk System,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,1986 - Famicom Disk System,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,1986 - Famicom Disk System,Composers,Koji Kondo
The Legend of Zelda,1987 - Nintendo Entertainment System,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,1987 - Nintendo Entertainment System,Producers,Shigeru Miyamoto
The Legend of Zelda,1987 - Nintendo Entertainment System,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,1987 - Nintendo Entertainment System,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,1987 - Nintendo Entertainment System,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,1987 - Nintendo Entertainment System,Composers,Koji Kondo
The Legend of Zelda,2003 - GameCube,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2003 - GameCube,Producers,Shigeru Miyamoto
The Legend of Zelda,2003 - GameCube,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2003 - GameCube,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2003 - GameCube,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2003 - GameCube,Composers,Koji Kondo
The Legend of Zelda,2004 - Game Boy Advance,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2004 - Game Boy Advance,Producers,Shigeru Miyamoto
The Legend of Zelda,2004 - Game Boy Advance,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2004 - Game Boy Advance,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2004 - Game Boy Advance,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2004 - Game Boy Advance,Composers,Koji Kondo
The Legend of Zelda,2006 - Wii Virtual Console,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2006 - Wii Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda,2006 - Wii Virtual Console,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2006 - Wii Virtual Console,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2006 - Wii Virtual Console,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2006 - Wii Virtual Console,Composers,Koji Kondo
The Legend of Zelda,2012 - 3DS Virtual Console,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2012 - 3DS Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda,2012 - 3DS Virtual Console,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2012 - 3DS Virtual Console,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2012 - 3DS Virtual Console,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2012 - 3DS Virtual Console,Composers,Koji Kondo
The Legend of Zelda,2013 - Wii U Virtual Console,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2013 - Wii U Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda,2013 - Wii U Virtual Console,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2013 - Wii U Virtual Console,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2013 - Wii U Virtual Console,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2013 - Wii U Virtual Console,Composers,Koji Kondo
The Legend of Zelda,2018 - Switch Online NES Library,Directors,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2018 - Switch Online NES Library,Producers,Shigeru Miyamoto
The Legend of Zelda,2018 - Switch Online NES Library,Designers,"Shigeru Miyamoto, Takashi Tezuka"
The Legend of Zelda,2018 - Switch Online NES Library,Programmers,"Toshihiko Nakago, Yasunari Soejima, I. Marui"
The Legend of Zelda,2018 - Switch Online NES Library,Writers,"Takashi Tezuka, Keiji Terui"
The Legend of Zelda,2018 - Switch Online NES Library,Composers,Koji Kondo
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,1987 - Famicom Disk System,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,1988 - Nintendo Entertainment System,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2003 - GameCube,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2003 - GameCube,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2003 - GameCube,Designers,Kazunobu Shimizu
